source,title,text,url,date,sentiment,polarity,subjectivity
Finviz,Why Alphabet Stock Popped Today,Why Alphabet Stock Popped Today,/news/224962/why-alphabet-stock-popped-today,2025-11-12 11:47:00.000000,neutral,0.0,0.0
Finviz,Apple Turns AI Caution Into Gold as Rivals Drown in Spending Spree,Apple Turns AI Caution Into Gold as Rivals Drown in Spending Spree,https://finance.yahoo.com/news/apple-turns-ai-caution-gold-163027038.html,2025-11-12 11:30:00.000000,neutral,0.0,0.0
Finviz,"Tech Weekly: precious chip deals, precious metals","Tech Weekly: precious chip deals, precious metals",https://finance.yahoo.com/video/tech-weekly-precious-chip-deals-152138637.html,2025-11-12 11:24:00.000000,positive,0.5,1.0
Finviz,OpenAI Eyes Health Apps as ChatGPT Users Seek Advice,OpenAI Eyes Health Apps as ChatGPT Users Seek Advice,https://finance.yahoo.com/m/7a781555-b68b-3c23-bc5c-1dad1ff00773/openai-eyes-health-apps-as.html,2025-11-12 11:14:00.000000,neutral,0.0,0.0
Finviz,AAPL: Apple Supplier Foxconn Sees AI Surge Driving 2026 Growth,AAPL: Apple Supplier Foxconn Sees AI Surge Driving 2026 Growth,https://finance.yahoo.com/news/aapl-apple-supplier-foxconn-sees-161133982.html,2025-11-12 11:11:00.000000,neutral,0.0,0.0
Finviz,"Developer fee cuts not passed on to EU users, Apple says","Developer fee cuts not passed on to EU users, Apple says",https://finance.yahoo.com/news/developer-fee-cuts-not-passed-160711788.html,2025-11-12 11:07:00.000000,neutral,0.0,0.0
Finviz,Taiwan Semiconductor Reports All Systems Go With October Sales,Taiwan Semiconductor Reports All Systems Go With October Sales,https://finance.yahoo.com/m/1f0dc20d-dd4a-3e94-b9fd-5ca89d32e194/taiwan-semiconductor-reports.html,2025-11-12 10:56:00.000000,neutral,0.0,0.0
Finviz,"Disney's Q4 Earnings Coming Up: Time to Buy, Sell or Hold the Stock?","Disney's Q4 Earnings Coming Up: Time to Buy, Sell or Hold the Stock?",/news/224954/disneys-q4-earnings-coming-up-time-to-buy-sell-or-hold-the-stock,2025-11-12 10:55:00.000000,neutral,0.0,0.0
Finviz,Nvidia is seeing the largest losses among the 'Magnificent Seven' stocks,Nvidia is seeing the largest losses among the 'Magnificent Seven' stocks,https://www.marketwatch.com/livecoverage/stock-market-today-dow-sp500-nasdaq-consolidate-after-381-point-blue-chip-rally-gold-above-4100/card/nvidia-is-seeing-the-largest-losses-among-the-magnificent-seven-stocks-bHgmIHorsp8qOlAcmLYw?mod=mw_FV,2025-11-12 10:51:00.000000,positive,1.0,1.0
Finviz,"Stock Market Today: Dow Pops On Shutdown Hopes; This Stock Tests Entry As Nvidia, Palantir Rally (Live Coverage)","Stock Market Today: Dow Pops On Shutdown Hopes; This Stock Tests Entry As Nvidia, Palantir Rally (Live Coverage)",https://finance.yahoo.com/m/44fe0151-808f-34c9-8778-d99dc940bbd2/stock-market-today%3A-dow-pops.html,2025-11-12 10:44:00.000000,positive,0.136,0.5
Finviz,Wall Street Is Buying the Dip in Big Tech After Shutdown Deal,Wall Street Is Buying the Dip in Big Tech After Shutdown Deal,https://finance.yahoo.com/m/bd0e054d-1d30-3765-8ad2-924245380e96/wall-street-is-buying-the-dip.html,2025-11-12 10:34:00.000000,neutral,0.0,0.1
Finviz,'Magnificent Seven' ETF heads for best session since May,'Magnificent Seven' ETF heads for best session since May,https://www.marketwatch.com/livecoverage/stock-market-today-dow-s-p-500-and-nasdaq-set-to-climb-after-vote-to-end-u-s-government-shutdown/card/-magnificent-seven-etf-heads-for-best-session-since-may-HGzlf1U2vEczPhYGPTwz?mod=mw_FV,2025-11-12 10:27:00.000000,positive,1.0,0.65
Finviz,Nvidia Stock Stutters After SoftBank Stake Sale. How Foxconn Is Boosting AI Hopes.,Nvidia Stock Stutters After SoftBank Stake Sale. How Foxconn Is Boosting AI Hopes.,https://finance.yahoo.com/m/b02a2c67-bf9b-3d30-b942-ed859a29b714/nvidia-stock-stutters-after.html,2025-11-12 10:22:00.000000,neutral,0.0,0.0
Finviz,Why Apple Stock Might Be Spared If an AI Bubble Bursts,Why Apple Stock Might Be Spared If an AI Bubble Bursts,https://finance.yahoo.com/m/15650005-2280-37b6-bf56-7818bd22f355/why-apple-stock-might-be.html,2025-11-12 10:11:00.000000,neutral,0.0,0.0
Finviz,Every payment method Costco accepts: From EBT to Apple Pay,Every payment method Costco accepts: From EBT to Apple Pay,https://finance.yahoo.com/m/d70e6909-7c75-3ce0-9240-bc3d645c7d4f/every-payment-method-costco.html,2025-11-12 10:08:00.000000,neutral,0.0,0.0
Finviz,Can Apple Shares Surge Past $300 This Year?,Can Apple Shares Surge Past $300 This Year?,https://finance.yahoo.com/m/c1b448d6-17c7-3664-a6a4-315cb7bffa93/can-apple-shares-surge-past.html,2025-11-12 10:08:00.000000,negative,-0.25,0.25
Finviz,Big Tech helps power Monday's rebound after worst week since April,Big Tech helps power Monday's rebound after worst week since April,https://www.marketwatch.com/livecoverage/stock-market-today-dow-s-p-500-and-nasdaq-set-to-climb-after-vote-to-end-u-s-government-shutdown/card/big-tech-helps-power-monday-s-rebound-after-worst-week-since-april-Np7GXAZP99ef9WE30J92?mod=mw_FV,2025-11-12 10:08:00.000000,negative,-0.5,0.55
Finviz,This Pandemic Darling Is Down 40% This Year. Now the Stock Is Rising Sharply.,This Pandemic Darling Is Down 40% This Year. Now the Stock Is Rising Sharply.,https://www.barrons.com/articles/bill-holdings-stock-price-starboard-9308f583?mod=bar_FV,2025-11-12 10:06:00.000000,negative,-0.14,0.519
Finviz,TSMC Stock Rises Despite Sales Growth Slowdown. Why the AI Trade Is Alive and Well.,TSMC Stock Rises Despite Sales Growth Slowdown. Why the AI Trade Is Alive and Well.,https://www.barrons.com/articles/tsmc-stock-sales-ai-trade-cb17a880?mod=bar_FV,2025-11-12 10:05:00.000000,neutral,0.1,0.4
Finviz,"IBM and Apple lift the Dow Jones Industrial Average higher, even as tech falters","IBM and Apple lift the Dow Jones Industrial Average higher, even as tech falters",https://www.marketwatch.com/livecoverage/stock-market-today-dow-sp500-nasdaq-consolidate-after-381-point-blue-chip-rally-gold-above-4100/card/ibm-and-apple-lift-the-dow-jones-industrial-average-higher-even-as-tech-falters-zQJcqm4ZfVsHg703GHJh?mod=mw_FV,2025-11-12 10:01:00.000000,neutral,0.05,0.45
Finviz,What Tesla Stock Would Look Like in 10 Years If Musk Hits Pay Targets,What Tesla Stock Would Look Like in 10 Years If Musk Hits Pay Targets,https://www.barrons.com/articles/tesla-stock-price-musk-pay-10-years-19161cfe?mod=bar_FV,2025-11-12 10:01:00.000000,neutral,0.0,0.0
Finviz,Nasdaq Loses Early Gains,Nasdaq Loses Early Gains,https://finance.yahoo.com/m/45e60972-12d3-3dbe-a1f0-6591352e48e4/nasdaq-loses-early-gains.html,2025-11-12 10:01:00.000000,neutral,-0.1,0.2
Finviz,"How To Invest In Stocks: From Nvidia To Hot IPOs, Investors Need This Not-So-Secret Weapon","How To Invest In Stocks: From Nvidia To Hot IPOs, Investors Need This Not-So-Secret Weapon",https://finance.yahoo.com/m/ffea5d6d-b311-3210-9c8a-2b641ca254e7/how-to-invest-in-stocks%3A-from.html,2025-11-12 09:48:00.000000,positive,0.25,0.85
Finviz,Is the entire AI-driven rally suddenly at stake?,Is the entire AI-driven rally suddenly at stake?,https://finance.yahoo.com/news/entire-ai-driven-rally-suddenly-143944872.html,2025-11-12 09:39:00.000000,neutral,0.0,0.562
Finviz,"The device side of AI really hasn't taken off yet, says Deepwater's Gene Munster","The device side of AI really hasn't taken off yet, says Deepwater's Gene Munster",https://www.youtube.com/watch?v=GKlye9V6BRU,2025-11-12 09:30:00.000000,positive,0.2,0.2
Finviz,"Here Are Mondays Top Wall Street Analyst Research Calls: Advanced Micro Devices, Alphabet, Apple, Eli Lilly, CarMax, HubSpot, and More","Here Are Mondays Top Wall Street Analyst Research Calls: Advanced Micro Devices, Alphabet, Apple, Eli Lilly, CarMax, HubSpot, and More",https://finance.yahoo.com/m/ace44efa-7347-3f6a-83c7-287f1c5763b0/here-are-monday%E2%80%99s-top-wall.html,2025-11-12 09:11:00.000000,positive,0.467,0.533
Finviz,Are worries over an AI bubble justified?,Are worries over an AI bubble justified?,https://finance.yahoo.com/video/worries-over-ai-bubble-justified-141024037.html,2025-11-12 09:10:00.000000,positive,0.4,0.9
Finviz,Stock Market Today: Dow Rises On Shutdown Deal Hopes; UnitedHealth Tumbles On Trump Comments (Live Coverage),Stock Market Today: Dow Rises On Shutdown Deal Hopes; UnitedHealth Tumbles On Trump Comments (Live Coverage),https://finance.yahoo.com/m/44fe0151-808f-34c9-8778-d99dc940bbd2/stock-market-today%3A-dow-rises.html,2025-11-12 09:10:00.000000,positive,0.136,0.5
Finviz,5 Warren Buffett Stocks to Hold Forever,5 Warren Buffett Stocks to Hold Forever,/news/225539/5-warren-buffett-stocks-to-hold-forever,2025-11-12 09:02:00.000000,neutral,0.0,0.0
Finviz,Why Nvidia Stock Is Rebounding Today After SoftBank Shed Its Stake in the Chip Maker,Why Nvidia Stock Is Rebounding Today After SoftBank Shed Its Stake in the Chip Maker,https://www.barrons.com/articles/nvidia-stock-price-today-4d764874?mod=bar_FV,2025-11-12 08:57:00.000000,neutral,0.0,0.0
Finviz,Warren Buffett Stepping Down With 31% of Berkshire in Cash: His 3 Ultra Safest Stocks,Warren Buffett Stepping Down With 31% of Berkshire in Cash: His 3 Ultra Safest Stocks,https://finance.yahoo.com/m/35f447ab-50ac-36b2-a9db-a4bd23707067/warren-buffett-stepping-down.html,2025-11-12 08:49:00.000000,negative,-0.156,0.289
Finviz,"Foxconn, On Running, Circle: Market Movers","Foxconn, On Running, Circle: Market Movers",https://finance.yahoo.com/video/foxconn-running-circle-market-movers-134324690.html,2025-11-12 08:43:00.000000,neutral,0.0,0.0
Finviz,"As Warren Buffett Waves Goodbye, 5 Dividend Stocks That Never Leave Berkshire Hathaway","As Warren Buffett Waves Goodbye, 5 Dividend Stocks That Never Leave Berkshire Hathaway",https://finance.yahoo.com/m/f6197bdf-24a2-353f-9bac-8a5b8bad5c4c/as-warren-buffett-waves.html,2025-11-12 08:43:00.000000,neutral,0.0,0.0
Finviz,Today's AI boom is 'very different' from the 90s dot-com bubble,Today's AI boom is 'very different' from the 90s dot-com bubble,https://finance.yahoo.com/video/todays-ai-boom-very-different-130030753.html,2025-11-12 08:00:00.000000,neutral,0.0,0.78
Finviz,Why Nvidia Stock Is Getting a Boost From Foxconn Earnings,Why Nvidia Stock Is Getting a Boost From Foxconn Earnings,https://finance.yahoo.com/m/b02a2c67-bf9b-3d30-b942-ed859a29b714/why-nvidia-stock-is-getting-a.html,2025-11-12 07:50:00.000000,neutral,0.0,0.0
Finviz,Mizuho upgrades Skyworks and Qorvo after merger announcement,Mizuho upgrades Skyworks and Qorvo after merger announcement,https://finance.yahoo.com/news/mizuho-upgrades-skyworks-qorvo-merger-124710994.html,2025-11-12 07:47:00.000000,neutral,0.0,0.0
Finviz,OpenAI's Restructuring Sets up What Could Be the Biggest IPO Ever,OpenAI's Restructuring Sets up What Could Be the Biggest IPO Ever,/news/223627/openais-restructuring-sets-up-what-could-be-the-biggest-ipo-ever,2025-11-12 07:41:00.000000,neutral,0.0,0.0
Finviz,DeFi is creeping into corporate cash flowThe cats out of the bag,DeFi is creeping into corporate cash flowThe cats out of the bag,https://finance.yahoo.com/news/defi-creeping-corporate-cash-flow-123516336.html,2025-11-12 07:35:00.000000,neutral,0.0,0.0
Finviz,Apple removes gay dating apps from Chinese App Store at Beijing's request,Apple removes gay dating apps from Chinese App Store at Beijing's request,https://www.youtube.com/watch?v=rhbPCTCrlRs,2025-11-12 07:33:00.000000,positive,0.208,0.292
Finviz,Apple Delays Launch of Next iPhone Air Amid Weak Sales and Product Rethink,Apple Delays Launch of Next iPhone Air Amid Weak Sales and Product Rethink,https://finance.yahoo.com/news/apple-delays-launch-next-iphone-122308044.html,2025-11-12 07:23:00.000000,negative,-0.188,0.312
